ticket,market_cap,last_price
AAPL,2226555989920,130.96
ABBV,182338146767,103.28
ABT,190440251878,107.45
ACN,170202627867,257.44
ADBE,238377159843,496.91
AIG,32255523481,37.44
ALL,32228170076,105.99
AMGN,129788670359,222.94
AMT,96034486298,217.4
AMZN,1598212990674,3185.27
AXP,94168368169,116.95
BA,124021526717,219.69
BAC,259956230305,30.05
BIIB,38655057166,251.2
BK,36313845289,40.98
BKNG,86040126875,2100.85
BLK,107312633873,703.64
BMY,138024075055,61
BRK.B,526002471875,224.24
C,126541509229,60.78
CAT,96928142853,178.42
CHTR,129407152872,647.44
CL,72370764401,84.43
CMCSA,228453744757,50.035
COF,44285186351,96.82
COP,42995485051,40.08
COST,160301067823,361.89
CRM,208098450000,227.43
CSCO,187507201544,44.375
CVS,89019206999,68.01
CVX,160010946259,85.69
DD,50767715674,69.18
DHR,156560089952,220.57
DIS,314209678171,173.55
DOW,40610908970,54.75
DUK,65529750182,89.04
EMR,47819305518,80.02
EXC,40691127432,41.71
F,35129101803,8.99
FB,765185974318,268.11
FDX,71757259960,270.71
GD,42514924023,148.15
GE,95132220780,10.86
GILD,71927445190,57.38
GM,60759007620,42.45
GOOG,1169652750839,1732.38
GOOGL,1169652750839,1728.23
GS,88236184489,256.45
HD,290477656722,269.81
HON,147346994422,209.99
IBM,110401976672,123.9
INTC,190843860000,46.57
JNJ,399988533584,151.94
JPM,381238757089,125.07
KHC,42547366321,34.8
KMI,31308269955,13.83
KO,228107829205,53.08
LLY,158295122837,165.48
LMT,98371965445,351.6
LOW,119016173987,162.43
MA,325434124278,329.23
MCD,157978431676,212.02
MDLZ,82019834458,57.35
MDT,153365512989,113.94
MET,41514624905,46.13
MMM,100361238553,173.99
MO,78072189122,42.87
MRK,201795546695,79.76
MS,123405412496,68.21
MSFT,1671020819068,221.02
NEE,145617669532,74.33
NFLX,227294695716,514.48
NKE,222539103068,141.76
NVDA,322109030000,520.37
ORCL,192245420200,65.3
PEP,199568335999,144.41
PFE,208106368667,37.44
PG,338069467452,136.34
PM,128011370021,82.2
PYPL,280549886747,239.44
QCOM,166211760000,146.96
RTX,107403625647,70.72
SBUX,119308140000,102.06
SLB,30513297797,21.92
SO,62713043816,59.38
SPG,27447895740,83.65
T,204872500000,28.75
TGT,87590230092,174.91
TMO,181656271443,458.34
TSLA,612324915503,645.98
TXN,147770324087,160.98
UNH,320312383489,337.59
UNP,135562199572,201.17
UPS,149230016000,172.64
USB,70395862413,46.73
V,452481200000,205.3
VZ,243982043878,58.96
WBA,34443765444,39.87
WFC,125481758480,30.35
WMT,405210330322,143.22
XOM,176613338942,41.77
